s	p	o
http://lod.nbrp/Medaka/MT77	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000004269
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000008803
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000008803
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000008803
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000008803
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000007755
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000007755
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000007755
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000007755
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006390
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006390
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006390
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006390
http://lod.nbrp/Medaka/MT894	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006390
http://lod.nbrp/Medaka/MT894	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006390
http://lod.nbrp/Medaka/MT894	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006390
http://lod.nbrp/Medaka/MT894	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006390
http://lod.nbrp/Medaka/MT914	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000019226
http://lod.nbrp/Medaka/MT914	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000019226
http://lod.nbrp/Medaka/MT914	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000019226
http://lod.nbrp/Medaka/MT914	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000019226
http://lod.nbrp/Medaka/MT924	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000025622
http://lod.nbrp/Medaka/MT924	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000025622
http://lod.nbrp/Medaka/MT924	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000025622
http://lod.nbrp/Medaka/MT924	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000025622
http://lod.nbrp/Medaka/MT934	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000006584
http://lod.nbrp/Medaka/MT934	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000006584
http://lod.nbrp/Medaka/MT934	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000006584
http://lod.nbrp/Medaka/MT934	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000006584
http://lod.nbrp/Medaka/MT939	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000015057
http://lod.nbrp/Medaka/MT939	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000015057
http://lod.nbrp/Medaka/MT939	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000015057
http://lod.nbrp/Medaka/MT939	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000015057
http://lod.nbrp/Medaka/MT97	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000015897
http://lod.nbrp/Medaka/MT97	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000015897
http://lod.nbrp/Medaka/MT97	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000015897
http://lod.nbrp/Medaka/MT97	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000015897
http://lod.nbrp/Medaka/MT977	http://purl.org/rbrc/resource/relatedGene	http://rdf.ebi.ac.uk/resource/ensembl/ENSORLG00000001220
http://lod.nbrp/Medaka/MT977	http://purl.org/rbrc/resource/relatedGene	http://ensembl.org/Oryzias_latipes/Gene/Summary?g=ENSORLG00000001220
http://lod.nbrp/Medaka/MT977	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ensembl/ENSORLG00000001220
http://lod.nbrp/Medaka/MT977	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ensembl:ENSORLG00000001220
