s	p	o
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0000854
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001010
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001237
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001621
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003323
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0006446
http://lod.nbrp/Medaka/MT65	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0008189
http://lod.nbrp/Medaka/MT67	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001644
http://lod.nbrp/Medaka/MT67	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002292
http://lod.nbrp/Medaka/MT67	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002824
http://lod.nbrp/Medaka/MT67	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009110
http://lod.nbrp/Medaka/MT7	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0001644
http://lod.nbrp/Medaka/MT7	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002862
http://lod.nbrp/Medaka/MT7	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0003317
http://lod.nbrp/Medaka/MT70	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002292
http://lod.nbrp/Medaka/MT70	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009110
http://lod.nbrp/Medaka/MT72	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0002824
http://lod.nbrp/Medaka/MT72	http://purl.obolibrary.org/obo/RO_0002200	http://purl.obolibrary.org/obo/ZP_0009110
