s	p	o
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sox5-202
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sox5-203
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:sox5-204
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sox5-201
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sox5-202
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sox5-203
http://lod.nbrp/Medaka/MT80	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/sox5-204
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100302581
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100302581
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100302581
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/glis3-201
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:glis3-201
http://lod.nbrp/Medaka/MT83	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/glis3-201
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	http://identifiers.org/ncbigene/100049321
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	https://identifiers.org/ncbigene:100049321
http://lod.nbrp/Medaka/MT893	http://purl.org/rbrc/resource/relatedGene	https://www.ncbi.nlm.nih.gov/gene/100049321
